client_id,client_name,delegate_name,delegate_id,client_tax_id,client_email,portal_holded_contact_id,matched_holded_contact_id,matched_holded_name,matched_holded_email,matched_holded_tax_id,match_type
8c3a2d27-ddd4-4b4d-abe5-4a8a2eefe408,Cliente,,,00000000T,,,,,,,no_match
a4c1c2c5-6c2a-444b-aaee-f6c87818311d,Cliente,,,00000000T,,,,,,,no_match
dd0f9dc1-d6f0-4c0c-b331-92dde2d8c61c,Cliente,,,00000000T,,,,,,,no_match
57faacc7-8441-49d7-929f-cb80a1945646,Cliente,,,00000000T,,,,,,,no_match
a65590fc-5515-4478-ac9f-d28859ad4328,Cliente,,,00000000T,,,,,,,no_match
ae8ffd59-8bd1-4a36-987e-c8338a83248a,Cliente,,,00000000T,,,,,,,no_match
c3087ab3-6ba5-4422-9c8d-90a2205c5368,Cliente,,,00000000T,,,,,,,no_match
278dab9b-1675-47e3-8593-07789e2c714d,Cliente,,,00000000T,,,,,,,no_match
5d04a823-ef65-44bd-a5ef-fc8c51d5ba12,Cliente,,,00000000T,,,,,,,no_match
c8509842-f4ba-4962-ad91-f2037e72a8f2,Cliente,,,00000000T,,,,,,,no_match
c581c4c8-d5af-4b84-ba7f-2e14dd573d34,Cliente,,,00000000T,,,,,,,no_match
fd68dbbc-904e-4366-bcd7-c57059ba165b,Cliente,,,00000000T,,,,,,,no_match
d5774a83-ae02-4b85-9729-f80042f8b263,Cliente,,,00000000T,,,,,,,no_match
cfc44e04-4c17-41cc-b580-50e126b5d3d4,Cliente,,,00000000T,,,,,,,no_match
9f73fe5a-2c38-4f07-8278-111d8085444f,Cliente,,,00000000T,,,,,,,no_match
502b979d-d440-483e-808a-4643ed82f14b,Cliente,,,00000000T,,,,,,,no_match
b6e0be66-fc16-4600-a901-02ca0f96eadb,Cliente,,,00000000T,,,,,,,no_match
0b77b2ec-ae5f-41ed-b25d-c0b37f9d96c2,Cliente,,,00000000T,,,,,,,no_match
